,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Unnamed: 0,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,firstInit
0,1,Jul 23,False,LAD,"L,1-8",33,32,1,8,0,0,0,1,0,0,8,0,0,1,1,1,0,0,0.25,0.242,0.25,0.492,5,10,R,D.May(49),2104,170.0,4.62,1.089,7.2,1.4,2.6,7.1,2.75,D
1,2,Jul 24,False,LAD,"L,1-9",32,31,1,4,0,0,1,1,1,0,9,0,0,0,1,1,0,0,0.19,0.2,0.238,0.438,4,9,R,R.Stripling(72),2108,78.0,7.29,1.455,10.2,3.2,2.9,7.2,2.45,R
2,3,Jul 25,False,LAD,"W,5-4",38,33,5,7,2,0,1,4,4,0,13,1,0,0,0,0,0,1,0.198,0.243,0.281,0.524,6,11,L,A.Wood(42),2119,70.0,5.01,1.816,12.1,1.4,4.3,10.7,2.5,A
3,4,Jul 26,False,LAD,"W,3-1",39,34,3,9,0,0,0,3,5,0,4,0,0,0,0,2,2,0,0.215,0.275,0.277,0.552,9,11,L,J.Urías(53),2105,134.0,3.72,1.145,7.4,0.8,2.9,7.4,2.5,J
4,5,Jul 28,True,SDP,"L,3-5",33,31,3,7,2,0,0,2,1,0,10,1,0,0,0,2,0,0,0.217,0.274,0.28,0.554,3,12,R,Z.Davies(52),3344,154.0,3.88,1.067,7.1,1.2,2.5,8.2,3.32,Z
5,6,Jul 29,True,SDP,"W,7-6",37,36,7,12,0,1,4,7,1,0,8,0,0,0,0,0,1,0,0.239,0.288,0.36,0.648,6,9,R,C.Paddack(53),3346,89.0,5.02,1.22,9.2,2.1,1.8,8.8,4.83,C
6,7,Jul 30,True,SDP,"L,7-12",49,38,7,11,3,1,0,7,7,0,12,1,0,3,0,0,0,0,0.247,0.307,0.37,0.677,13,14,R,D.Lamet(58),3345,201.0,2.48,0.855,5.1,0.7,2.6,12.1,4.65,D
7,8,Jul 31,True,TEX,"W,9-2",38,33,9,11,4,0,1,9,5,0,7,0,0,0,0,1,1,0,0.257,0.321,0.392,0.713,5,10,L,M.Minor(28),4087,81.0,4.89,1.358,8.9,1.8,3.3,8.9,2.69,M
8,9,Aug 1,True,TEX,"W,7-3",41,29,7,7,2,0,0,7,11,1,4,1,0,0,0,1,0,1,0.256,0.338,0.384,0.722,10,13,R,J.Lyles(36),4086,64.0,5.95,1.561,10.5,1.9,3.6,5.6,1.57,J
9,10,Aug 2,True,TEX,"L,5-9",39,35,5,8,1,1,2,5,3,0,8,0,0,1,1,0,0,0,0.253,0.332,0.395,0.727,7,11,L,K.Allard(55),4088,58.0,4.71,1.515,8.3,1.1,5.3,8.6,1.6,K
10,11,Aug 3,False,COL,"L,6-7",38,34,6,9,1,0,3,5,1,0,8,2,0,1,1,2,0,0,0.254,0.331,0.41,0.741,5,11,R,C.González(39),1388,76.0,5.53,1.627,10.1,1.4,4.6,7.3,1.6,C
11,12,Aug 4,False,COL,"L,2-5",33,32,2,7,1,0,0,2,1,0,9,0,0,0,0,2,0,0,0.251,0.324,0.397,0.721,4,9,R,G.Márquez(66),1383,138.0,3.28,1.261,8.6,0.7,2.8,8.0,2.92,G
12,13,Aug 5,False,COL,"W,4-3",34,34,4,7,2,0,1,4,0,0,5,0,0,0,2,2,0,0,0.248,0.316,0.394,0.71,3,12,R,J.Gray(50),1387,78.0,5.06,1.436,10.4,1.4,2.5,5.1,2.0,J
13,14,Aug 6,False,COL,"L,4-6",37,34,4,11,2,0,1,4,3,0,4,0,0,0,0,4,0,0,0.253,0.321,0.399,0.72,6,12,L,K.Freeland(46),1385,120.0,4.65,1.415,9.8,1.1,2.9,5.9,2.0,K
14,15,Aug 7,False,LAD,"L,2-7",36,34,2,8,2,1,1,2,2,0,10,0,0,0,0,1,1,0,0.252,0.318,0.402,0.72,7,12,L,J.Urías(52),2105,134.0,3.72,1.145,7.4,0.8,2.9,7.4,2.5,J
15,16,Aug 8,False,LAD,"W,5-4",39,36,5,10,2,0,3,5,2,0,12,0,0,1,0,0,0,0,0.254,0.317,0.414,0.731,7,12,L,C.Kershaw(38),2103,202.0,3.31,0.84,6.3,1.2,1.2,9.6,7.75,C
16,17,Aug 9,False,LAD,"L,2-6",34,29,2,2,0,0,0,2,4,0,11,1,0,0,0,0,1,0,0.244,0.311,0.396,0.708,5,11,R,W.Buehler(61),2107,128.0,4.36,0.955,5.9,1.7,2.7,10.3,3.82,W
17,18,Aug 10,False,HOU,"L,4-6",35,33,4,6,2,0,1,4,1,0,6,1,0,0,0,0,1,0,0.241,0.307,0.393,0.7,4,10,R,L.McCullers(80),1819,113.0,3.7,1.164,7.2,0.8,3.3,9.2,2.8,L
18,19,Aug 11,False,HOU,"W,7-6",46,40,7,12,0,0,2,7,5,0,8,0,1,0,0,1,1,0,0.245,0.311,0.397,0.708,10,13,R,B.Bielak(50),1827,66.0,7.0,1.75,11.0,2.5,4.8,7.3,1.53,B
19,20,Aug 12,False,HOU,"L,1-5",35,34,1,7,0,1,0,1,1,0,9,0,0,0,0,0,0,0,0.243,0.307,0.39,0.697,7,10,R,Z.Greinke(61),1818,110.0,2.8,1.134,9.0,0.8,1.2,9.0,7.44,Z
20,21,Aug 14,True,OAK,"L,7-8",46,42,7,13,0,0,3,7,3,0,10,0,0,0,0,1,0,0,0.246,0.31,0.398,0.708,10,13,L,J.Luzardo(19),2896,102.0,4.19,1.271,8.8,1.4,2.6,9.0,3.47,J
21,22,Aug 15,True,OAK,"L,6-7",36,33,6,7,1,1,1,5,3,0,10,0,0,0,1,2,1,0,0.245,0.309,0.398,0.706,3,12,L,S.Manaea(55),2897,93.0,3.71,1.204,9.5,1.2,1.3,7.5,5.63,S
22,23,Aug 16,True,OAK,"L,3-15",39,35,3,9,1,0,2,3,4,0,6,0,0,0,0,0,0,1,0.246,0.31,0.4,0.71,9,12,R,M.Fiers(53),2895,91.0,4.94,1.373,9.9,1.4,2.4,5.6,2.31,M
23,24,Aug 17,False,LAA,"L,6-7",38,35,6,10,1,1,1,6,1,0,5,1,0,1,0,0,1,1,0.247,0.31,0.403,0.713,5,10,R,G.Canning(42),2,114.0,4.33,1.367,8.6,1.3,3.7,8.9,2.43,G
24,25,Aug 18,False,LAA,"W,8-2",43,37,8,10,5,0,2,8,5,1,9,1,0,0,0,0,0,0,0.248,0.313,0.41,0.723,8,10,R,D.Bundy(37),1,138.0,2.95,1.036,7.0,0.7,2.3,9.9,4.24,D
25,26,Aug 19,True,LAA,"W,7-2",36,33,7,10,2,0,2,7,2,0,7,0,0,1,0,0,0,0,0.25,0.314,0.415,0.729,5,11,L,P.Sandoval(29),3,81.0,5.92,1.336,9.1,2.5,2.9,8.1,2.75,P
26,27,Aug 20,True,LAA,"W,10-5",43,35,10,12,3,0,2,10,6,0,4,1,0,1,0,0,1,0,0.254,0.319,0.422,0.741,9,10,L,J.Suarez(23),20,13.0,14.76,6.429,38.6,3.9,19.3,7.7,0.4,J
27,28,Aug 21,True,ARI,"W,6-2",39,32,6,10,3,0,2,6,7,1,11,0,0,0,0,1,0,1,0.256,0.323,0.428,0.751,9,13,L,R.Ray(40),174,58.0,7.29,2.0,9.0,2.6,9.0,12.5,1.39,R
28,29,Aug 22,True,ARI,"W,5-1",37,28,5,5,2,0,0,4,8,0,7,1,0,0,0,1,0,0,0.254,0.325,0.423,0.748,8,11,R,Z.Gallen(64),170,164.0,3.66,1.111,6.9,1.1,3.1,10.3,3.28,Z
29,30,Aug 23,True,ARI,"W,6-1",35,33,6,10,3,0,2,6,1,0,8,1,0,0,0,1,0,0,0.255,0.326,0.428,0.753,5,11,R,L.Weaver(55),171,69.0,4.67,1.558,10.9,1.7,3.1,9.5,3.06,L
30,31,Aug 25,True,LAD,"W,10-8",50,46,10,14,2,0,3,9,3,0,14,0,1,0,2,1,0,0,0.257,0.327,0.433,0.759,10,12,L,J.Urías(37),2105,134.0,3.72,1.145,7.4,0.8,2.9,7.4,2.5,J
31,32,Aug 27 (1),True,LAD,"L,0-7",25,25,0,4,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0.255,0.323,0.428,0.751,4,9,L,C.Kershaw(68),2103,202.0,3.31,0.84,6.3,1.2,1.2,9.6,7.75,C
32,33,Aug 27 (2),True,LAD,"L,0-2",26,23,0,2,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0.252,0.32,0.421,0.741,5,12,L,C.Ferguson(53),2116,153.0,3.57,1.018,7.7,1.9,1.4,13.0,9.0,C
33,34,Aug 28,False,ARI,"L,4-7",36,34,4,9,1,1,2,4,1,0,6,1,0,0,0,2,0,0,0.252,0.32,0.424,0.744,5,11,R,Z.Gallen(67),170,164.0,3.66,1.111,6.9,1.1,3.1,10.3,3.28,Z
34,35,Aug 29,False,ARI,"W,5-2",43,39,5,13,5,0,1,5,4,1,13,0,0,0,0,0,1,1,0.255,0.322,0.428,0.751,11,11,R,L.Weaver(32),171,69.0,4.67,1.558,10.9,1.7,3.1,9.5,3.06,L
35,36,Aug 30,False,ARI,"W,4-1",36,34,4,7,1,0,1,4,1,0,14,1,0,0,1,1,1,0,0.253,0.321,0.425,0.746,5,13,R,T.Clarke(67),181,104.0,5.2,1.292,7.3,1.7,4.4,8.3,1.9,T
36,37,Sep 1,False,COL,"W,23-5",59,52,23,27,8,1,4,23,5,0,6,1,0,1,0,0,1,0,0.264,0.33,0.446,0.777,9,13,R,J.Gray(13),1387,78.0,5.06,1.436,10.4,1.4,2.5,5.1,2.0,J
37,38,Sep 2,False,COL,"L,6-9",45,40,6,13,1,0,1,6,3,0,12,2,0,0,1,1,0,0,0.266,0.333,0.446,0.778,12,12,L,K.Freeland(25),1385,120.0,4.65,1.415,9.8,1.1,2.9,5.9,2.0,K
38,39,Sep 4,True,ARI,"L,5-6",43,36,5,12,4,0,1,5,6,0,7,1,0,0,1,3,0,0,0.268,0.336,0.448,0.784,11,12,R,T.Clarke(34),181,104.0,5.2,1.292,7.3,1.7,4.4,8.3,1.9,T
39,40,Sep 5,True,ARI,"W,4-3",37,33,4,9,1,2,2,4,4,0,8,0,0,0,0,0,0,0,0.268,0.336,0.452,0.788,9,11,L,M.Bumgarner(48),172,70.0,7.18,1.44,10.2,2.8,2.8,6.5,2.31,M
40,41,Sep 6,True,ARI,"W,4-2",34,32,4,10,4,0,3,4,2,1,3,0,0,0,0,2,0,0,0.269,0.337,0.458,0.794,6,12,L,A.Young(45),180,83.0,5.57,1.403,9.9,2.1,2.7,7.6,2.79,A
41,42,Sep 7,True,ARI,"W,4-2",32,29,4,6,1,0,0,4,3,0,10,0,0,0,1,2,0,0,0.268,0.335,0.453,0.789,4,11,R,Z.Gallen(45),170,164.0,3.66,1.111,6.9,1.1,3.1,10.3,3.28,Z
42,43,Sep 8,True,SEA,"W,6-5",35,35,6,11,1,1,3,6,0,0,6,0,0,0,0,0,1,0,0.269,0.335,0.458,0.793,5,13,R,L.Newsome(48),3494,84.0,5.74,1.34,11.5,2.3,0.6,5.2,9.0,L
43,44,Sep 9,True,SEA,"W,10-1",41,37,10,13,3,0,1,10,3,1,9,1,0,0,0,0,0,0,0.271,0.337,0.46,0.797,7,13,L,N.Margevicius(27),3486,94.0,4.35,1.258,8.3,1.3,3.0,7.8,2.57,N
44,45,Sep 10,False,SDP,"L,1-6",33,32,1,8,2,0,1,1,1,0,14,0,0,0,0,3,0,0,0.27,0.336,0.458,0.794,5,10,R,C.Paddack(54),3346,89.0,5.02,1.22,9.2,2.1,1.8,8.8,4.83,C
45,46,Sep 13 (1),False,SDP,"L,0-6",23,22,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0.268,0.333,0.454,0.787,2,11,R,M.Clevinger(79),3348,149.0,2.35,0.895,6.6,0.5,1.4,9.0,6.33,M
46,47,Sep 13 (2),False,SDP,"L,1-3",27,24,1,3,1,0,0,1,2,0,6,1,0,0,1,1,0,0,0.266,0.331,0.45,0.781,5,11,R,G.Richards(56),3347,104.0,4.28,1.247,8.2,1.2,3.0,8.1,2.71,G
47,48,Sep 16,True,SEA,"W,9-3",44,41,9,15,4,0,3,8,3,0,8,0,0,0,0,0,0,0,0.268,0.333,0.455,0.789,8,10,R,L.Newsome(23),3494,84.0,5.74,1.34,11.5,2.3,0.6,5.2,9.0,L
48,49,Sep 17,True,SEA,"W,6-4",42,32,6,9,1,1,1,6,7,0,4,2,0,1,0,2,1,0,0.269,0.335,0.456,0.791,9,14,L,N.Margevicius(45),3486,94.0,4.35,1.258,8.3,1.3,3.0,7.8,2.57,N
49,50,Sep 18,False,OAK,"L,0-6",35,30,0,3,1,0,0,0,5,0,11,0,0,0,0,0,0,0,0.266,0.333,0.45,0.783,8,9,R,C.Bassitt(72),2894,183.0,3.59,1.159,8.0,0.9,2.4,7.9,3.24,C
50,51,Sep 19,False,OAK,"L,0-6",32,32,0,6,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0.264,0.331,0.445,0.776,5,9,L,J.Luzardo(69),2896,102.0,4.19,1.271,8.8,1.4,2.6,9.0,3.47,J
51,52,Sep 20,False,OAK,"W,14-2",49,41,14,15,1,0,3,14,8,0,14,0,0,0,0,0,1,0,0.266,0.334,0.449,0.783,8,10,L,M.Minor(40),2899,77.0,4.22,1.031,6.3,1.7,3.0,11.4,3.86,M
52,53,Sep 21,True,COL,"L,2-7",40,34,2,6,1,0,1,2,4,0,5,2,0,0,1,0,0,0,0.265,0.334,0.446,0.78,11,11,R,G.Márquez(60),1383,138.0,3.28,1.261,8.6,0.7,2.8,8.0,2.92,G
53,54,Sep 22,True,COL,"W,5-2",38,32,5,10,3,0,2,5,6,0,4,0,0,0,0,2,1,0,0.266,0.335,0.449,0.784,9,12,L,K.Freeland(52),1385,120.0,4.65,1.415,9.8,1.1,2.9,5.9,2.0,K
54,55,Sep 23,True,COL,"W,7-2",41,34,7,11,3,1,2,7,6,0,6,0,0,1,0,0,1,0,0.267,0.337,0.452,0.789,10,10,R,R.Castellani(34),1386,89.0,7.78,1.454,7.7,2.5,5.4,5.2,0.96,R
55,56,Sep 24,True,COL,"L,4-5",46,39,4,10,4,0,1,3,5,2,8,0,2,0,0,2,0,0,0.266,0.337,0.452,0.789,11,14,R,C.González(42),1388,76.0,5.53,1.627,10.1,1.4,4.6,7.3,1.6,C
56,57,Sep 25 (1),True,SDP,"W,5-4",27,26,5,9,2,0,3,5,1,0,7,0,0,0,0,1,0,0,0.267,0.337,0.456,0.794,4,11,R,C.Paddack(27),3346,89.0,5.02,1.22,9.2,2.1,1.8,8.8,4.83,C
57,58,Sep 25 (2),True,SDP,"L,5-6",29,25,5,3,1,0,1,4,4,0,9,0,0,0,1,0,0,0,0.266,0.336,0.454,0.79,3,13,R,D.Lamet(56),3345,201.0,2.48,0.855,5.1,0.7,2.6,12.1,4.65,D
58,59,Sep 26,True,SDP,"L,2-6",36,33,2,7,1,0,0,2,2,0,12,1,0,0,0,0,0,1,0.265,0.335,0.45,0.786,7,12,R,Z.Davies(56),3344,154.0,3.88,1.067,7.1,1.2,2.5,8.2,3.32,Z
59,60,Sep 27,True,SDP,"L,4-5",37,32,4,6,0,0,3,4,4,0,12,1,0,0,0,1,0,0,0.263,0.335,0.451,0.785,6,12,L,A.Morejón(52),3355,91.0,5.93,1.241,9.3,3.3,1.9,11.6,6.25,A
60,1,Apr 1,False,SEA,"L,7-8",43,39,7,10,3,0,4,6,4,1,7,0,0,0,1,1,0,0,0.256,0.326,0.641,0.967,7,10,L,M.Gonzales(35),3513,104.0,5.28,1.165,7.8,1.8,2.6,6.8,2.57,M
61,2,Apr 2,False,SEA,"W,6-3",39,35,6,8,1,0,2,6,4,0,13,0,0,0,0,0,1,0,0.243,0.317,0.541,0.858,6,12,L,Y.Kikuchi(57),3512,93.0,4.61,1.318,8.3,1.5,3.6,9.3,2.63,Y
62,3,Apr 3,False,SEA,"L,0-4",35,32,0,6,1,0,0,0,2,0,12,1,0,0,0,1,0,0,0.226,0.299,0.443,0.743,8,11,R,C.Flexen(63),3511,114.0,3.89,1.252,9.3,1.0,2.0,6.3,3.13,C
63,4,Apr 5,False,SDP,"W,3-2",37,35,3,9,0,0,3,3,2,0,8,0,0,0,0,1,1,0,0.234,0.299,0.461,0.76,7,18,L,A.Morejón(45),3395,109.0,8.74,1.5,9.6,3.9,3.9,5.8,1.5,A
64,5,Apr 6,False,SDP,"L,1-3",30,29,1,3,0,0,1,1,1,0,11,0,0,0,0,1,1,0,0.212,0.272,0.418,0.689,2,14,R,Y.Darvish(68),3369,92.0,3.9,1.094,7.5,1.5,2.4,10.8,4.52,Y
65,6,Apr 7,False,SDP,"W,3-2",40,34,3,5,1,0,1,3,5,1,14,0,0,1,2,2,2,0,0.201,0.268,0.392,0.66,8,16,L,B.Snell(59),3370,92.0,3.82,1.321,7.1,1.1,4.8,11.9,2.46,B
66,7,Apr 9,True,COL,"W,3-1",35,28,3,5,1,0,0,3,7,0,7,0,0,0,0,1,0,0,0.198,0.278,0.371,0.649,8,12,L,A.Gomber(64),1411,106.0,4.61,1.24,8.0,1.6,3.2,8.8,2.76,A
67,8,Apr 10,True,COL,"W,4-3",34,27,4,5,1,0,1,4,7,0,4,0,0,0,0,1,0,0,0.197,0.287,0.367,0.653,6,16,R,C.González(53),1412,74.0,5.37,1.525,11.2,1.6,2.5,5.0,2.0,C
68,9,Apr 11,True,COL,"W,4-0",37,30,4,8,3,0,2,4,4,0,7,1,2,0,0,0,1,0,0.204,0.296,0.388,0.683,9,16,R,G.Márquez(49),1407,109.0,3.86,1.272,8.3,1.1,3.2,8.8,2.75,G
69,10,Apr 12,True,CIN,"L,0-3",31,28,0,2,0,0,0,0,2,0,9,1,0,0,1,2,0,0,0.192,0.284,0.36,0.644,4,17,L,W.Miley(65),1128,139.0,3.97,1.325,9.2,0.9,2.8,6.9,2.5,W
70,11,Apr 13,True,CIN,"W,7-6",38,33,7,11,1,1,3,7,4,0,12,0,0,1,0,1,0,0,0.206,0.295,0.391,0.686,7,18,R,L.Castillo(44),1126,117.0,3.75,1.364,8.7,0.9,3.6,9.2,2.56,L
71,12,Apr 14,True,CIN,"W,3-0",31,27,3,5,1,0,0,2,3,1,10,0,1,0,1,1,0,1,0.204,0.293,0.379,0.672,4,16,R,T.Mahle(59),1127,125.0,3.8,1.233,7.9,1.2,3.2,10.5,3.28,T
72,13,Apr 16,False,MIA,"L,1-4",34,31,1,5,1,1,0,1,3,0,4,0,0,0,0,1,0,0,0.201,0.289,0.37,0.659,6,14,L,D.Castano(55),1710,88.0,5.14,1.475,9.7,1.3,3.5,5.8,1.63,D
73,14,Apr 17,False,MIA,"L,6-7",40,39,6,10,3,0,2,6,0,0,11,1,0,0,1,1,0,0,0.206,0.287,0.38,0.668,5,23,R,S.Alcántara(52),1688,132.0,3.42,1.075,7.5,0.9,2.2,8.8,4.02,S
74,15,Apr 18,False,MIA,"W,1-0",39,35,1,6,2,0,0,1,4,1,11,0,0,0,2,0,1,0,0.203,0.285,0.369,0.654,11,17,R,P.López(65),1690,138.0,3.29,1.12,7.8,1.0,2.3,10.1,4.42,P
75,16,Apr 19,False,PHI,"W,2-0",36,34,2,7,3,0,1,2,1,0,12,1,0,0,0,0,1,0,0.203,0.283,0.37,0.653,7,15,R,C.Anderson(49),3084,62.0,5.86,1.479,9.6,1.9,3.8,6.6,1.75,C
76,17,Apr 20,False,PHI,"W,10-7",40,35,10,11,1,0,5,10,4,0,7,0,1,0,0,2,0,0,0.211,0.289,0.396,0.685,3,18,R,Z.Wheeler(46),3072,150.0,2.59,1.008,7.1,0.7,1.9,10.4,5.37,Z
77,18,Apr 21,False,PHI,"L,5-6",38,37,5,11,3,0,1,5,1,1,9,0,0,0,1,1,0,0,0.216,0.291,0.4,0.691,6,18,R,Z.Eflin(57),3074,100.0,3.68,1.249,9.9,1.3,1.4,8.4,6.19,Z
78,19,Apr 22,True,MIA,"W,3-0",30,28,3,5,3,0,0,3,2,0,5,0,0,0,0,1,0,0,0.214,0.288,0.394,0.683,3,15,L,D.Castano(45),1710,88.0,5.14,1.475,9.7,1.3,3.5,5.8,1.63,D
79,20,Apr 23,True,MIA,"W,5-3",37,29,5,8,1,0,1,5,7,1,7,0,0,1,0,2,1,0,0.217,0.294,0.395,0.69,8,14,R,S.Alcántara(51),1688,132.0,3.42,1.075,7.5,0.9,2.2,8.8,4.02,S
80,21,Apr 24,True,MIA,"L,2-5",32,31,2,5,2,0,1,2,1,0,8,0,0,0,1,1,0,0,0.214,0.29,0.392,0.682,3,12,R,P.López(70),1690,138.0,3.29,1.12,7.8,1.0,2.3,10.1,4.42,P
81,22,Apr 25,True,MIA,"W,4-3",35,30,4,7,2,1,0,4,3,0,10,1,0,1,0,0,3,0,0.215,0.291,0.391,0.682,7,13,L,R.Detwiler(53),1699,85.0,4.45,1.235,8.1,1.6,3.0,11.1,3.73,R
82,23,Apr 26,True,COL,"W,12-0",42,35,12,12,3,0,1,12,6,2,11,0,0,1,0,0,0,0,0.221,0.298,0.397,0.695,6,10,L,A.Gomber(4),1411,106.0,4.61,1.24,8.0,1.6,3.2,8.8,2.76,A
83,24,Apr 27,True,COL,"L,5-7",41,40,5,11,2,0,2,5,1,0,8,0,0,0,1,1,1,0,0.224,0.298,0.401,0.698,7,18,R,C.González(45),1412,74.0,5.37,1.525,11.2,1.6,2.5,5.0,2.0,C
84,25,Apr 28,True,COL,"W,7-3",40,29,7,9,0,0,0,7,9,0,10,0,1,0,0,1,0,1,0.227,0.305,0.398,0.703,9,15,R,G.Márquez(40),1407,109.0,3.86,1.272,8.3,1.1,3.2,8.8,2.75,G
85,26,Apr 30,False,SDP,"L,2-3",37,31,2,5,2,0,1,1,5,0,16,1,0,0,0,1,0,0,0.225,0.305,0.395,0.7,8,16,R,Y.Darvish(70),3369,92.0,3.9,1.094,7.5,1.5,2.4,10.8,4.52,Y
86,27,May 1,False,SDP,"L,2-6",35,31,2,5,0,0,1,2,4,0,12,0,0,0,1,2,0,0,0.222,0.303,0.39,0.693,6,15,L,B.Snell(54),3370,92.0,3.82,1.321,7.1,1.1,4.8,11.9,2.46,B
87,28,May 2,False,SDP,"W,7-1",39,31,7,5,0,1,1,7,7,0,10,0,1,0,0,1,0,0,0.22,0.304,0.388,0.691,5,15,R,J.Musgrove(41),3368,122.0,3.7,1.081,7.0,1.1,2.7,10.1,3.76,J
88,29,May 4 (1),False,COL,"W,12-4",36,32,12,12,2,0,3,12,4,0,5,0,0,0,0,1,0,0,0.226,0.308,0.399,0.707,3,14,R,G.Márquez(7),1407,109.0,3.86,1.272,8.3,1.1,3.2,8.8,2.75,G
89,30,May 4 (2),False,COL,"L,6-8",36,27,6,9,2,0,2,6,7,0,7,1,1,0,1,1,0,1,0.229,0.314,0.405,0.719,9,15,R,R.Castellani(40),1429,97.0,10.37,2.7,13.5,2.7,10.8,5.4,0.5,R
90,31,May 5,False,COL,"L,5-6",36,32,5,6,0,1,2,4,4,0,12,0,0,0,0,0,2,0,0.227,0.313,0.406,0.719,4,17,R,J.Gray(62),1409,105.0,4.22,1.329,8.5,1.3,3.5,9.5,2.71,J
91,32,May 7,True,SDP,"W,5-4",36,28,5,4,0,0,2,5,7,0,10,1,0,0,1,1,1,0,0.225,0.314,0.405,0.719,7,18,L,B.Snell(45),3370,92.0,3.82,1.321,7.1,1.1,4.8,11.9,2.46,B
92,33,May 8,True,SDP,"W,7-1",39,34,7,11,2,0,3,7,4,1,8,1,0,0,1,2,0,0,0.228,0.317,0.413,0.73,8,16,R,J.Musgrove(42),3368,122.0,3.7,1.081,7.0,1.1,2.7,10.1,3.76,J
93,34,May 9,True,SDP,"L,1-11",37,33,1,8,3,0,0,1,3,0,10,0,0,1,0,1,0,0,0.229,0.316,0.41,0.727,9,17,R,C.Paddack(54),3371,77.0,3.78,1.265,9.6,1.2,1.8,8.2,4.5,C
94,35,May 10,True,TEX,"W,3-1",35,31,3,6,1,0,1,2,4,0,10,0,0,0,2,1,1,0,0.228,0.315,0.408,0.723,8,14,R,K.Gibson(64),4113,154.0,3.76,1.177,7.3,0.7,3.3,7.5,2.29,K
95,36,May 11,True,TEX,"W,4-2",35,28,4,4,1,0,0,2,6,0,11,1,0,0,1,1,0,1,0.226,0.315,0.402,0.718,7,16,R,J.Lyles(56),4109,86.0,5.34,1.389,9.7,1.9,2.8,7.3,2.61,J
96,37,May 13,False,PIT,"W,3-1",38,34,3,8,0,1,1,2,4,0,11,0,0,0,0,1,0,0,0.226,0.315,0.402,0.717,8,15,R,W.Crowe(47),3217,78.0,5.67,1.569,9.7,1.9,4.4,8.6,1.95,W
97,38,May 14,False,PIT,"L,2-3",38,36,2,4,0,0,1,2,2,0,12,0,0,0,0,1,0,0,0.222,0.311,0.396,0.707,5,15,R,M.Yajure(68),3240,52.0,8.5,1.6,10.2,3.6,4.2,6.6,1.57,M
98,39,May 15,False,PIT,"L,6-8",42,33,6,9,1,0,3,6,7,0,13,0,2,0,0,1,0,0,0.224,0.313,0.4,0.714,9,16,L,T.Anderson(44),3218,98.0,4.27,1.2,8.6,1.4,2.2,7.5,3.44,T
99,40,May 16,False,PIT,"W,4-1",41,36,4,9,1,0,1,3,5,0,11,0,0,0,0,0,1,0,0.225,0.314,0.399,0.714,10,14,R,M.Keller(52),3219,69.0,4.3,1.788,11.7,0.9,4.4,8.2,1.88,M
